fall_year,spring_year,year_str,geo_id_b2020,geo_nm_b2020,grade,count,basez
2020,2021,2020-2021,3.7063E+14,Block 1014,9,1,1
2023,2024,2023-2024,3.7063E+14,Block 1014,9,2,0
2024,2025,2024-2025,3.7063E+14,Block 1014,9,1,1
2020,2021,2020-2021,3.7063E+14,Block 1014,10,2,2
2023,2024,2023-2024,3.7063E+14,Block 1014,10,1,1
2020,2021,2020-2021,3.7063E+14,Block 1014,11,2,2
2021,2022,2021-2022,3.7063E+14,Block 1014,11,1,1
2024,2025,2024-2025,3.7063E+14,Block 1014,11,1,1
2020,2021,2020-2021,3.7063E+14,Block 1014,12,2,2
2021,2022,2021-2022,3.7063E+14,Block 1014,12,2,2
2023,2024,2023-2024,3.7063E+14,Block 1014,12,1,1
2021,2022,2021-2022,3.7063E+14,Block 1015,0,1,1
2022,2023,2022-2023,3.7063E+14,Block 1015,0,1,1
2024,2025,2024-2025,3.7063E+14,Block 1015,0,1,1
2023,2024,2023-2024,3.7063E+14,Block 1015,1,1,1
2020,2021,2020-2021,3.7063E+14,Block 1015,2,2,2
2021,2022,2021-2022,3.7063E+14,Block 1015,2,1,1
2024,2025,2024-2025,3.7063E+14,Block 1015,2,1,1
2020,2021,2020-2021,3.7063E+14,Block 1015,3,1,1
2021,2022,2021-2022,3.7063E+14,Block 1015,3,3,2
2022,2023,2022-2023,3.7063E+14,Block 1015,3,1,1
2024,2025,2024-2025,3.7063E+14,Block 1015,3,1,1
2020,2021,2020-2021,3.7063E+14,Block 1015,4,1,1
2021,2022,2021-2022,3.7063E+14,Block 1015,4,2,2
2022,2023,2022-2023,3.7063E+14,Block 1015,4,1,1
2023,2024,2023-2024,3.7063E+14,Block 1015,4,1,1
2020,2021,2020-2021,3.7063E+14,Block 1015,5,2,2
2021,2022,2021-2022,3.7063E+14,Block 1015,5,2,1
2023,2024,2023-2024,3.7063E+14,Block 1015,5,1,1
2024,2025,2024-2025,3.7063E+14,Block 1015,5,1,1
2021,2022,2021-2022,3.7063E+14,Block 1015,6,1,0
2024,2025,2024-2025,3.7063E+14,Block 1015,6,1,1
2020,2021,2020-2021,3.7063E+14,Block 1015,7,1,0
2023,2024,2023-2024,3.7063E+14,Block 1015,7,1,0
2020,2021,2020-2021,3.7063E+14,Block 1015,8,1,0
2021,2022,2021-2022,3.7063E+14,Block 1015,8,1,0
2021,2022,2021-2022,3.7063E+14,Block 1015,9,1,1
2022,2023,2022-2023,3.7063E+14,Block 1015,9,1,1
2020,2021,2020-2021,3.7063E+14,Block 1015,10,2,0
2021,2022,2021-2022,3.7063E+14,Block 1015,10,1,1
2023,2024,2023-2024,3.7063E+14,Block 1015,10,3,2
2021,2022,2021-2022,3.7063E+14,Block 1015,11,1,0
2022,2023,2022-2023,3.7063E+14,Block 1015,11,1,1
2023,2024,2023-2024,3.7063E+14,Block 1015,12,1,1
2024,2025,2024-2025,3.7063E+14,Block 1015,12,2,2
2020,2021,2020-2021,3.7063E+14,Block 1016,-4,1,0
2023,2024,2023-2024,3.7063E+14,Block 1016,-1,1,0
2022,2023,2022-2023,3.7063E+14,Block 1016,1,1,0
2023,2024,2023-2024,3.7063E+14,Block 1016,1,1,0
2020,2021,2020-2021,3.7063E+14,Block 1016,2,2,1
2021,2022,2021-2022,3.7063E+14,Block 1016,3,2,1
2022,2023,2022-2023,3.7063E+14,Block 1016,4,1,1
2023,2024,2023-2024,3.7063E+14,Block 1016,5,1,1
2020,2021,2020-2021,3.7063E+14,Block 1016,8,1,1
2021,2022,2021-2022,3.7063E+14,Block 1016,9,1,0
2022,2023,2022-2023,3.7063E+14,Block 1016,9,1,0
2022,2023,2022-2023,3.7063E+14,Block 1016,10,1,0
2023,2024,2023-2024,3.7063E+14,Block 1016,11,1,0
2020,2021,2020-2021,3.7063E+14,Block 1016,12,2,0
2024,2025,2024-2025,3.7063E+14,Block 1016,12,1,0
2023,2024,2023-2024,3.7063E+14,Block 1017,0,1,0
2023,2024,2023-2024,3.7063E+14,Block 1017,1,1,0
2024,2025,2024-2025,3.7063E+14,Block 1017,1,1,1
2020,2021,2020-2021,3.7063E+14,Block 1017,3,1,0
2021,2022,2021-2022,3.7063E+14,Block 1017,4,1,0
2022,2023,2022-2023,3.7063E+14,Block 1017,5,1,0
2023,2024,2023-2024,3.7063E+14,Block 1017,6,1,0
2024,2025,2024-2025,3.7063E+14,Block 1017,6,2,2
2022,2023,2022-2023,3.7063E+14,Block 1017,9,1,1
2020,2021,2020-2021,3.7063E+14,Block 1017,10,1,1
2021,2022,2021-2022,3.7063E+14,Block 1017,11,1,1
